underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,current_position,straddle_strike,strangle_strike_low,position_entry_ltp,is_hedged,is_closed,candle_t_2_start,candle_t_2_end,candle_t_2_open,candle_t_2_close,candle_t_1_start,candle_t_1_end,candle_t_1_open,candle_t_1_close
NIFTY,2022-01-27 03:05:24.437476,0.0,0.0,0.0,0,0.0,17277.95,2022-01-27 15:30:00,,,,,False,False,,,,,,,,
NIFTY,2022-01-27 03:05:26.177258,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:27.120551,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:28.012217,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:29.018804,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:30.007266,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:30.948021,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:31.825925,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:32.817837,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:33.742351,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:34.669341,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:35.603042,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:36.591247,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:37.528054,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:38.420314,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:39.308355,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:40.304502,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:41.188370,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:42.168441,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:43.094717,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:43.972440,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:44.918567,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:45.858010,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:46.755940,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:47.639454,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:48.579164,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:49.459646,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:50.341811,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:51.230936,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:52.100586,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
NIFTY,2022-01-27 03:05:52.992012,-100.02,-100.0,-0.02,0,-100.02,17277.95,2022-01-27 15:30:00,,,,,True,False,2022-01-27 03:00:00,2022-01-27 03:02:00,,,2022-01-27 03:02:00,2022-01-27 03:04:00,,
