underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,current_position,straddle_strike,strangle_strike_low,position_entry_ltp,is_hedged,is_closed,is_expiry_day,candle_t_2_start,candle_t_2_end,candle_t_2_open,candle_t_2_close,candle_t_1_start,candle_t_1_end,candle_t_1_open,candle_t_1_close
NIFTY,2021-05-17 09:15:00.000000,0.0,0.0,0.0,0.0,0.0,14756.25,2021-05-20 15:30:00,,,,,False,False,False,,,,,,,,
NIFTY,2021-05-17 09:16:40.186387,0.0,0.0,0.0,0.0,0.0,14754.15,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:05:00,2021-05-17 09:10:00,,,2021-05-17 09:10:00,2021-05-17 09:15:00,,
NIFTY,2021-05-17 09:18:20.311633,0.0,0.0,0.0,0.0,0.0,14742.85,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:05:00,2021-05-17 09:10:00,,,2021-05-17 09:10:00,2021-05-17 09:15:00,,
NIFTY,2021-05-17 09:20:00.434561,0.0,0.0,0.0,0.0,0.0,14757.8,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:10:00,2021-05-17 09:15:00,,,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85
NIFTY,2021-05-17 09:21:40.555781,0.0,0.0,0.0,0.0,0.0,14748.05,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:10:00,2021-05-17 09:15:00,,,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85
NIFTY,2021-05-17 09:23:20.676720,0.0,0.0,0.0,0.0,0.0,14752.35,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:10:00,2021-05-17 09:15:00,,,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85
NIFTY,2021-05-17 09:25:00.797758,0.0,0.0,0.0,0.0,0.0,14753.8,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35
NIFTY,2021-05-17 09:26:40.919680,0.0,0.0,0.0,0.0,0.0,14756.1,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35
NIFTY,2021-05-17 09:28:21.041147,0.0,0.0,0.0,0.0,0.0,14736.85,2021-05-20 15:30:00,,,,,False,False,False,2021-05-17 09:15:00,2021-05-17 09:20:00,14756.25,14742.85,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35
NIFTY,2021-05-17 09:30:02.264540,49.98,50.0,-0.02,49.98,0.0,14733.65,2021-05-20 15:30:00,,,,,True,False,False,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35,2021-05-17 09:25:00,2021-05-17 09:30:00,14753.8,14736.85
NIFTY,2021-05-17 09:31:42.555574,24.98,25.0,-0.02,49.98,-24.999999999999996,14739.4,2021-05-20 15:30:00,,,,,True,False,False,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35,2021-05-17 09:25:00,2021-05-17 09:30:00,14753.8,14736.85
NIFTY,2021-05-17 09:33:22.845472,-50.02,-50.0,-0.02,49.98,-100.0,14753.9,2021-05-20 15:30:00,,,,,True,False,False,2021-05-17 09:20:00,2021-05-17 09:25:00,14757.8,14752.35,2021-05-17 09:25:00,2021-05-17 09:30:00,14753.8,14736.85
