brokerage_pnl,candle_5_0_close_last,candle_5_0_open_last,candle_5_5_close_last,candle_5_5_open_last,current_datetime,current_ltp,current_pnl,current_position,expiry_datetime,is_closed,is_hedged,max_pnl,position_entry_ltp,straddle_strike,strangle_strike_low,strategy_pnl,trailing_pnl,underlying_name
0.0,,,,,2022-01-17 13:17:54.525580,18294.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
-0.2,,,,,2022-01-17 13:17:56.204850,18295.1,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:17:57.202288,18294.95,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:17:58.192837,18294.25,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:17:59.208558,18294.4,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:18:00.213603,18294.4,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:18:01.207753,18294.55,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
