brokerage_pnl,candle_5_0_close_last,candle_5_0_open_last,candle_5_5_close_last,candle_5_5_open_last,current_datetime,current_ltp,current_pnl,current_position,expiry_datetime,is_closed,is_hedged,max_pnl,position_entry_ltp,straddle_strike,strangle_strike_low,strategy_pnl,trailing_pnl,underlying_name
0.0,,,,,2022-01-17 12:45:18.511163,18300.45,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
-0.2,,,,,2022-01-17 12:45:20.170613,18300.9,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:21.165062,18301.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:22.161662,18300.7,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:23.159183,18300.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:24.146780,18300.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:25.141504,18300.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:26.147781,18300.5,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:27.135932,18300.45,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:28.137886,18299.6,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:29.125905,18299.3,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:30.123474,18300.2,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:31.123175,18299.95,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:32.153577,18299.95,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:33.215602,18300.0,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:34.217792,18300.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:35.224433,18300.75,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:36.252313,18300.6,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:37.243892,18300.4,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:38.259943,18300.15,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:39.257547,18300.6,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
-0.2,,,,,2022-01-17 12:45:40.247439,18299.8,-5.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,-5.0,-5.2,NIFTY
