brokerage_pnl,candle_5_0_close,candle_5_0_open,candle_5_5_close,candle_5_5_open,current_datetime,current_ltp,current_pnl,current_position,expiry_datetime,is_closed,is_hedged,max_pnl,position_entry_ltp,straddle_strike,strangle_strike_low,strategy_pnl,trailing_pnl,underlying_name
0.0,,,,,2022-01-17 12:02:05.851476,18302.6,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:06.676723,18302.3,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:07.563957,18302.7,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:08.438180,18302.25,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:09.332760,18302.25,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:10.234489,18302.95,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:11.109235,18302.85,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:11.992654,18302.85,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:12.847891,18302.35,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:13.752673,18302.35,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:14.668363,18302.1,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:15.471889,18302.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:16.276358,18302.3,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:17.101320,18301.8,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:17.959193,18302.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:18.768492,18302.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:19.578232,18302.6,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:20.380007,18302.6,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:21.176932,18302.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:21.979634,18302.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:22.787851,18302.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:23.599009,18302.35,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:24.406879,18302.45,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:25.219625,18302.7,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:26.014800,18302.7,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:26.813000,18301.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:27.612124,18301.1,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:28.418194,18301.4,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:29.223449,18301.4,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:30.025938,18301.8,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:30.841249,18302.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:31.654969,18302.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:32.464057,18301.65,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:33.267041,18301.8,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:34.068670,18302.1,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:34.881015,18302.1,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:35.740419,18301.95,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:36.543446,18301.95,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:37.356035,18302.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:38.160481,18301.05,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:38.969965,18301.25,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:39.772157,18301.25,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:40.578988,18303.05,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:41.390015,18303.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:42.192351,18303.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:42.997664,18303.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:43.808054,18303.0,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:44.617783,18303.15,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:45.427992,18306.1,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:46.232185,18305.65,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-17 12:02:47.044980,18305.35,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
