brokerage_pnl,candle_5_0_close_last,candle_5_0_open_last,candle_5_5_close_last,candle_5_5_open_last,current_datetime,current_ltp,current_pnl,current_position,expiry_datetime,is_closed,is_hedged,max_pnl,position_entry_ltp,straddle_strike,strangle_strike_low,strategy_pnl,trailing_pnl,underlying_name
0.0,,,,,2022-01-18 09:09:15.183334,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:16.153354,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:17.153067,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:18.157761,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:19.137402,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:20.152424,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:21.225699,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:22.232785,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:23.247834,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:24.280766,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:25.257286,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:26.230845,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:27.211624,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
0.0,,,,,2022-01-18 09:09:28.185432,18337.2,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
