brokerage_pnl,candle_5_0_close_last,candle_5_0_open_last,candle_5_5_close_last,candle_5_5_open_last,current_datetime,current_ltp,current_pnl,current_position,expiry_datetime,is_closed,is_hedged,max_pnl,position_entry_ltp,straddle_strike,strangle_strike_low,strategy_pnl,trailing_pnl,underlying_name
0.0,,,,,2022-01-17 13:43:08.174884,18268.6,0.0,,2022-01-20 15:30:00,0.0,0.0,0.0,,,,0.0,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:09.835790,18269.25,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:43:10.819263,18269.25,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:43:11.800017,18269.3,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:43:12.776462,18269.75,-0.2,,2022-01-20 15:30:00,0.0,1.0,0.0,,,,0.0,-0.2,NIFTY
-0.2,,,,,2022-01-17 13:43:13.765551,18268.5,2.3,,2022-01-20 15:30:00,0.0,1.0,2.3,,,,2.5,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:14.751928,18269.5,2.3,,2022-01-20 15:30:00,0.0,1.0,2.3,,,,2.5,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:15.757517,18268.5,2.3,,2022-01-20 15:30:00,0.0,1.0,2.3,,,,2.5,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:16.760022,18269.5,2.3,,2022-01-20 15:30:00,0.0,1.0,2.3,,,,2.5,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:17.761329,18268.9,2.3,,2022-01-20 15:30:00,0.0,1.0,2.3,,,,2.5,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:18.748299,18269.65,4.8,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,5.0,0.0,NIFTY
-0.2,,,,,2022-01-17 13:43:19.760839,18269.65,2.3,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,2.5,-2.5,NIFTY
-0.2,,,,,2022-01-17 13:43:20.766379,18271.05,2.3,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,2.5,-2.5,NIFTY
-0.2,,,,,2022-01-17 13:43:21.770537,18269.6,2.3,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,2.5,-2.5,NIFTY
-0.2,,,,,2022-01-17 13:43:22.771603,18269.6,-0.2,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,0.0,-5.0,NIFTY
-0.2,,,,,2022-01-17 13:43:23.775887,18268.95,2.3,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,2.5,-2.5,NIFTY
-0.2,,,,,2022-01-17 13:43:24.767288,18270.15,2.3,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,2.5,-2.5,NIFTY
-0.2,,,,,2022-01-17 13:43:25.769076,18270.15,4.8,,2022-01-20 15:30:00,0.0,1.0,4.8,,,,5.0,0.0,NIFTY
