broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-01-27 02:14:01.282787,NIFTY22JAN17800CE,500,NFO,2.95,2022-01-27 02:14:00.787886,17277.95
2022-01-27 02:14:01.468759,NIFTY22JAN16350PE,500,NFO,2.9,2022-01-27 02:14:00.787886,17277.95
2022-01-27 02:15:00.790382,NIFTY22JAN17300PE,-500,NFO,120.05,2022-01-27 02:15:00.151575,17277.95
2022-01-27 02:15:00.974251,NIFTY22JAN17250CE,-500,NFO,111.0,2022-01-27 02:15:00.151575,17277.95
2022-01-27 02:18:00.530870,NIFTY22JAN17250CE,500,NFO,114.0,2022-01-27 02:18:00.261042,17277.95
2022-01-27 02:18:00.695944,NIFTY22JAN17300PE,500,NFO,121.95,2022-01-27 02:18:00.261042,17277.95
2022-01-27 02:18:00.858650,NIFTY22JAN16350PE,-500,NFO,0.85,2022-01-27 02:18:00.261042,17277.95
2022-01-27 02:18:01.020780,NIFTY22JAN17800CE,-500,NFO,2.7,2022-01-27 02:18:00.261042,17277.95
