average_price,broker_order_id,current_datetime,current_ltp,exchange,instrument_id,quantity
3.0,2022-01-20 09:40:01.108306,2022-01-20 09:40:00.584465,17912.05,NFO,NIFTY2212018100CE,500.0
2.3,2022-01-20 09:40:01.299867,2022-01-20 09:40:00.584465,17912.05,NFO,NIFTY2212017700PE,500.0
45.95,2022-01-20 10:10:13.956919,2022-01-20 10:10:13.194345,17851.0,NFO,NIFTY2212017850CE,-500.0
57.75,2022-01-20 10:10:14.156064,2022-01-20 10:10:13.194345,17851.0,NFO,NIFTY2212017900PE,-500.0
39.45,2022-01-20 10:11:46.931436,2022-01-20 10:11:46.634253,17840.7,NFO,NIFTY2212017850CE,500.0
65.0,2022-01-20 10:11:47.116346,2022-01-20 10:11:46.634253,17840.7,NFO,NIFTY2212017900PE,500.0
32.35,2022-01-20 10:16:13.812402,2022-01-20 10:16:13.126028,17845.3,NFO,NIFTY2212017850PE,-500.0
41.75,2022-01-20 10:16:14.020833,2022-01-20 10:16:13.126028,17845.3,NFO,NIFTY2212017850CE,-500.0
33.3,2022-01-20 10:44:13.516611,2022-01-20 10:44:13.171953,17822.0,NFO,NIFTY2212017850CE,500.0
46.8,2022-01-20 10:44:13.764244,2022-01-20 10:44:13.171953,17822.0,NFO,NIFTY2212017850PE,500.0
60.75,2022-01-20 10:44:15.284616,2022-01-20 10:44:14.568119,17823.05,NFO,NIFTY2212017800CE,-500.0
46.4,2022-01-20 10:44:15.501735,2022-01-20 10:44:14.568119,17823.05,NFO,NIFTY2212017850PE,-500.0
42.75,2022-01-20 11:21:20.571722,2022-01-20 11:21:20.124002,17797.6,NFO,NIFTY2212017800CE,500.0
62.1,2022-01-20 11:21:20.761416,2022-01-20 11:21:20.124002,17797.6,NFO,NIFTY2212017850PE,500.0
38.85,2022-01-20 11:33:10.582904,2022-01-20 11:33:09.832420,17787.35,NFO,NIFTY2212017800PE,-500.0
40.4,2022-01-20 11:33:10.783050,2022-01-20 11:33:09.832420,17787.35,NFO,NIFTY2212017800CE,-500.0
30.85,2022-01-20 11:41:10.178119,2022-01-20 11:41:09.791565,17772.25,NFO,NIFTY2212017800CE,500.0
44.65,2022-01-20 11:41:10.360894,2022-01-20 11:41:09.791565,17772.25,NFO,NIFTY2212017800PE,500.0
38.8,2022-01-20 11:45:29.690294,2022-01-20 11:45:28.940345,17781.55,NFO,NIFTY2212017800PE,-500.0
