average_price,broker_order_id,current_datetime,current_ltp,exchange,instrument_id,quantity
5.1,2022-01-21 09:28:01.065828,2022-01-21 09:28:00.411896,17538.95,NFO,NIFTY22JAN18450CE,500.0
5.0,2022-01-21 09:28:01.296488,2022-01-21 09:28:00.411896,17538.95,NFO,NIFTY22JAN16250PE,500.0
162.2,2022-01-21 10:50:01.305820,2022-01-21 10:50:00.302841,17580.95,NFO,NIFTY22JAN17600PE,-500.0
159.7,2022-01-21 10:50:01.516116,2022-01-21 10:50:00.302841,17580.95,NFO,NIFTY22JAN17600CE,-500.0
151.95,2022-01-21 10:53:10.510902,2022-01-21 10:53:10.113628,17569.8,NFO,NIFTY22JAN17600CE,500.0
172.0,2022-01-21 10:53:10.698629,2022-01-21 10:53:10.113628,17569.8,NFO,NIFTY22JAN17600PE,500.0
169.25,2022-01-21 10:53:35.907693,2022-01-21 10:53:35.065022,17575.25,NFO,NIFTY22JAN17600PE,-500.0
181.4,2022-01-21 10:53:36.116658,2022-01-21 10:53:35.065022,17575.25,NFO,NIFTY22JAN17550CE,-500.0
198.65,2022-01-21 11:02:19.511073,2022-01-21 11:02:18.856137,17602.85,NFO,NIFTY22JAN17550CE,500.0
151.0,2022-01-21 11:02:19.902859,2022-01-21 11:02:18.856137,17602.85,NFO,NIFTY22JAN17600PE,500.0
148.5,2022-01-21 11:30:01.326366,2022-01-21 11:30:00.432845,17615.95,NFO,NIFTY22JAN17650CE,-500.0
138.05,2022-01-21 11:30:01.528141,2022-01-21 11:30:00.432845,17615.95,NFO,NIFTY22JAN17600PE,-500.0
152.95,2022-01-21 11:32:12.094124,2022-01-21 11:32:11.663195,17597.4,NFO,NIFTY22JAN17600PE,500.0
135.3,2022-01-21 11:32:12.294111,2022-01-21 11:32:11.663195,17597.4,NFO,NIFTY22JAN17650CE,500.0
139.35,2022-01-21 11:40:01.108107,2022-01-21 11:40:00.256044,17601.6,NFO,NIFTY22JAN17650CE,-500.0
148.65,2022-01-21 11:40:01.297963,2022-01-21 11:40:00.256044,17601.6,NFO,NIFTY22JAN17600PE,-500.0
156.85,2022-01-21 11:50:39.654564,2022-01-21 11:50:39.201470,17591.05,NFO,NIFTY22JAN17600PE,500.0
131.55,2022-01-21 11:50:39.845946,2022-01-21 11:50:39.201470,17591.05,NFO,NIFTY22JAN17650CE,500.0
156.75,2022-01-21 11:50:41.510469,2022-01-21 11:50:40.652617,17590.65,NFO,NIFTY22JAN17600PE,-500.0
156.9,2022-01-21 11:50:41.723420,2022-01-21 11:50:40.652617,17590.65,NFO,NIFTY22JAN17600CE,-500.0
179.0,2022-01-21 11:59:07.726780,2022-01-21 11:59:07.256552,17627.55,NFO,NIFTY22JAN17600CE,500.0
136.1,2022-01-21 11:59:07.923180,2022-01-21 11:59:07.256552,17627.55,NFO,NIFTY22JAN17600PE,500.0
132.1,2022-01-21 12:31:07.187450,2022-01-21 12:31:06.281887,17658.2,NFO,NIFTY22JAN17700CE,-500.0
126.65,2022-01-21 12:31:07.396761,2022-01-21 12:31:06.281887,17658.2,NFO,NIFTY22JAN17600PE,-500.0
130.35,2022-01-21 12:34:45.633103,2022-01-21 12:34:45.147489,17647.7,NFO,NIFTY22JAN17600PE,500.0
126.45,2022-01-21 12:34:45.831878,2022-01-21 12:34:45.147489,17647.7,NFO,NIFTY22JAN17700CE,500.0
135.3,2022-01-21 12:52:59.187119,2022-01-21 12:52:58.287386,17662.75,NFO,NIFTY22JAN17700CE,-500.0
142.95,2022-01-21 12:52:59.389044,2022-01-21 12:52:58.287386,17662.75,NFO,NIFTY22JAN17650PE,-500.0
120.9,2022-01-21 13:12:12.509015,2022-01-21 13:12:12.000012,17702.15,NFO,NIFTY22JAN17650PE,500.0
158.5,2022-01-21 13:12:12.703329,2022-01-21 13:12:12.000012,17702.15,NFO,NIFTY22JAN17700CE,500.0
141.4,2022-01-21 13:17:25.277148,2022-01-21 13:17:24.347293,17673.2,NFO,NIFTY22JAN17700CE,-500.0
133.55,2022-01-21 13:17:25.492612,2022-01-21 13:17:24.347293,17673.2,NFO,NIFTY22JAN17650PE,-500.0
146.9,2022-01-21 13:24:18.479165,2022-01-21 13:24:17.955377,17647.7,NFO,NIFTY22JAN17650PE,500.0
129.65,2022-01-21 13:24:18.674667,2022-01-21 13:24:17.955377,17647.7,NFO,NIFTY22JAN17700CE,500.0
140.95,2022-01-21 13:46:55.307969,2022-01-21 13:46:54.314858,17610.35,NFO,NIFTY22JAN17650CE,-500.0
139.4,2022-01-21 13:46:55.515500,2022-01-21 13:46:54.314858,17610.35,NFO,NIFTY22JAN17600PE,-500.0
148.65,2022-01-21 13:54:28.657572,2022-01-21 13:54:28.093330,17597.8,NFO,NIFTY22JAN17600PE,500.0
134.6,2022-01-21 13:54:28.842007,2022-01-21 13:54:28.093330,17597.8,NFO,NIFTY22JAN17650CE,500.0
147.3,2022-01-21 13:54:31.817012,2022-01-21 13:54:30.841669,17598.7,NFO,NIFTY22JAN17600PE,-500.0
134.75,2022-01-21 13:54:32.026580,2022-01-21 13:54:30.841669,17598.7,NFO,NIFTY22JAN17650CE,-500.0
115.9,2022-01-21 14:04:05.902041,2022-01-21 14:04:05.311983,17652.45,NFO,NIFTY22JAN17600PE,500.0
159.85,2022-01-21 14:04:06.090884,2022-01-21 14:04:05.311983,17652.45,NFO,NIFTY22JAN17650CE,500.0
147.0,2022-01-21 14:30:02.812994,2022-01-21 14:30:01.651445,17573.65,NFO,NIFTY22JAN17600CE,-500.0
157.15,2022-01-21 14:30:03.156432,2022-01-21 14:30:01.651445,17573.65,NFO,NIFTY22JAN17600PE,-500.0
142.05,2022-01-21 14:38:12.568105,2022-01-21 14:38:11.989060,17561.85,NFO,NIFTY22JAN17600CE,500.0
162.65,2022-01-21 14:38:12.779324,2022-01-21 14:38:11.989060,17561.85,NFO,NIFTY22JAN17600PE,500.0
141.5,2022-01-21 14:38:14.597169,2022-01-21 14:38:13.586965,17561.2,NFO,NIFTY22JAN17600CE,-500.0
139.65,2022-01-21 14:38:14.800591,2022-01-21 14:38:13.586965,17561.2,NFO,NIFTY22JAN17550PE,-500.0
145.5,2022-01-21 14:39:11.019189,2022-01-21 14:39:10.413987,17547.5,NFO,NIFTY22JAN17550PE,500.0
133.9,2022-01-21 14:39:11.221636,2022-01-21 14:39:10.413987,17547.5,NFO,NIFTY22JAN17600CE,500.0
147.7,2022-01-21 14:39:13.018114,2022-01-21 14:39:12.026952,17548.05,NFO,NIFTY22JAN17550PE,-500.0
158.15,2022-01-21 14:39:13.218507,2022-01-21 14:39:12.026952,17548.05,NFO,NIFTY22JAN17550CE,-500.0
149.9,2022-01-21 14:44:38.006402,2022-01-21 14:44:37.396841,17521.75,NFO,NIFTY22JAN17550CE,500.0
155.85,2022-01-21 14:44:38.196701,2022-01-21 14:44:37.396841,17521.75,NFO,NIFTY22JAN17550PE,500.0
149.85,2022-01-21 14:44:40.023751,2022-01-21 14:44:39.002584,17521.35,NFO,NIFTY22JAN17550CE,-500.0
156.0,2022-01-21 14:44:40.223602,2022-01-21 14:44:39.002584,17521.35,NFO,NIFTY22JAN17550PE,-500.0
143.45,2022-01-21 14:46:56.283865,2022-01-21 14:46:55.653732,17510.3,NFO,NIFTY22JAN17550CE,500.0
164.5,2022-01-21 14:46:56.498909,2022-01-21 14:46:55.653732,17510.3,NFO,NIFTY22JAN17550PE,500.0
143.15,2022-01-21 14:46:58.340457,2022-01-21 14:46:57.322454,17509.8,NFO,NIFTY22JAN17550CE,-500.0
140.75,2022-01-21 14:46:58.548538,2022-01-21 14:46:57.322454,17509.8,NFO,NIFTY22JAN17500PE,-500.0
152.85,2022-01-21 14:58:23.319701,2022-01-21 14:58:22.676454,17497.65,NFO,NIFTY22JAN17500PE,500.0
136.95,2022-01-21 14:58:23.531717,2022-01-21 14:58:22.676454,17497.65,NFO,NIFTY22JAN17550CE,500.0
152.45,2022-01-21 14:58:25.407616,2022-01-21 14:58:24.355856,17497.55,NFO,NIFTY22JAN17500PE,-500.0
161.95,2022-01-21 14:58:25.616003,2022-01-21 14:58:24.355856,17497.55,NFO,NIFTY22JAN17500CE,-500.0
180.2,2022-01-21 15:00:11.223019,2022-01-21 15:00:10.583882,17533.7,NFO,NIFTY22JAN17500CE,500.0
137.1,2022-01-21 15:00:11.647529,2022-01-21 15:00:10.583882,17533.7,NFO,NIFTY22JAN17500PE,500.0
159.2,2022-01-21 15:00:13.485035,2022-01-21 15:00:12.467212,17533.05,NFO,NIFTY22JAN17550PE,-500.0
149.6,2022-01-21 15:00:13.692254,2022-01-21 15:00:12.467212,17533.05,NFO,NIFTY22JAN17550CE,-500.0
172.1,2022-01-21 15:02:10.228036,2022-01-21 15:02:09.592013,17578.8,NFO,NIFTY22JAN17550CE,500.0
130.6,2022-01-21 15:02:10.417019,2022-01-21 15:02:09.592013,17578.8,NFO,NIFTY22JAN17550PE,500.0
151.25,2022-01-21 15:02:12.234746,2022-01-21 15:02:11.224041,17579.85,NFO,NIFTY22JAN17600PE,-500.0
143.75,2022-01-21 15:02:12.445526,2022-01-21 15:02:11.224041,17579.85,NFO,NIFTY22JAN17600CE,-500.0
158.4,2022-01-21 15:07:01.816631,2022-01-21 15:07:01.179525,17614.55,NFO,NIFTY22JAN17600CE,500.0
135.75,2022-01-21 15:07:02.013123,2022-01-21 15:07:01.179525,17614.55,NFO,NIFTY22JAN17600PE,500.0
2.35,2022-01-21 15:07:02.202741,2022-01-21 15:07:01.179525,17614.55,NFO,NIFTY22JAN16250PE,-500.0
